1,99.9998
2,98
3,97.0001
4,96.0003
5,95.0006
6,94.0012
7,93.0015
8,92.0021
9,91.0033
10,90.0038
11,89.0049
12,88.0064
13,87.0084
14,86.0099
15,85.0109
16,84.0122
17,83.0163
18,82.0162
19,81.0205
20,80.0271
21,79.0271
22,78.0247
23,77.0307
24,76.0337
25,75.0431
26,74.0386
27,73.0412
28,72.0445
29,71.0545
30,70.0587
31,69.0538
32,68.0709
33,67.0748
34,66.0706
35,65.0883
36,64.1018
37,63.0977
38,62.1034
39,61.1278
40,60.1362
41,59.1321
42,58.1354
43,57.1463
44,56.1468
45,55.169
46,54.1847
47,53.1948
48,52.2299
49,51.1958
50,50.2545
51,49.2634
52,48.26
53,47.2785
54,46.2881
55,45.319
56,44.3162
57,43.331
58,42.3469
59,41.4022
60,40.4246
61,39.4114
62,38.4666
63,37.4593
64,36.506
65,35.5586
66,34.6032
67,33.5939
68,32.5777
69,31.6807
70,30.6201
71,29.7306
72,28.7167
73,27.8186
74,26.7787
75,25.8609
76,24.9218
77,23.9013
78,22.9446
79,22.0619
80,21.053
81,20.1108
82,19.1481
83,18.2779
84,17.2407
85,16.3864
86,15.3419
87,14.419
88,13.618
89,12.6097
90,11.7071
91,10.7278
92,9.8726
93,8.9054
94,8.0481
95,7.2038
96,6.3629
97,5.4685
98,4.709
99,3.829
100,3.1878
101,2.8066
102,2.7043
103,2.4251
104,2.3357
105,2.3329
106,2.2779
107,2.2282
108,2.3434
109,2.2153
110,2.3585
111,2.1703
112,2.0776
113,2.0455
114,2.1256
115,1.9746
116,1.9317
117,1.8273
118,1.9541
119,1.8675
120,1.6612
121,1.9536
122,1.7651
123,1.7231
124,1.573
125,1.6089
126,1.3745
127,1.5587
128,1.3197
129,1.4742
130,1.5033
131,1.3854
132,1.5513
133,1.5827
134,1.449
135,1.2986
136,1.3734
137,1.4473
138,1.3601
139,1.5595
140,1.3568
